feature,importance
x4_trans,0.05794172231798377
y16_trans,0.04288449677975627
y12_trans,0.03942931722422157
y11_trans,0.03822955820745506
y4_trans,0.03804198403412622
x3_trans,0.03674967896745799
y8_trans,0.03617533512850252
x8_trans,0.034535619057922684
y15_trans,0.0344905540023702
y7_trans,0.03312983690062974
x20_trans,0.03073254243429841
x7_trans,0.028639210808103
y20_trans,0.028328238632925537
x12_trans,0.026376013551641812
y3_trans,0.02459956774567071
x6_trans,0.022524571278970347
x16_trans,0.02244854011934871
x11_trans,0.02205144661852914
y19_trans,0.022015902023542137
y2_trans,0.02103725350480511
x9_trans,0.020735602666726156
x13_trans,0.020665749611094564
x15_trans,0.020128752127567325
y6_trans,0.019113525356906774
x5_trans,0.018868972442799416
x2_trans,0.018725438707575776
y14_trans,0.018111639019120624
y5_trans,0.017239191221525244
x19_trans,0.017185072194749778
x1_trans,0.017007091559437342
y17_trans,0.016353869466929755
y18_trans,0.01619756950840949
y13_trans,0.015950212875123142
x0_trans,0.01579685072896947
x10_trans,0.015542640953108464
x17_trans,0.014495273543180004
y9_trans,0.014428032083058895
x14_trans,0.013855553606657998
y0_trans,0.013390889556919099
y10_trans,0.013200151261445723
y1_trans,0.012190787627957392
x18_trans,0.010455744542476579
